Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,
6/11/2011,11,June,2011,44,Adults (35-64),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Black, 48",4,$295 ,$540 ,$980 ,"$1,180 ","$2,160 ",
7/1/2011,1,July,2011,17,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Black, 52",4,$295 ,$540 ,$980 ,"$1,180 ","$2,160 ",
12/8/2011,8,December,2011,19,Youth (<25),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308 ,$565 ,"$1,028 ","$1,232 ","$2,260 ",
8/30/2011,30,August,2011,19,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Black, 44",4,$295 ,$540 ,$980 ,"$1,180 ","$2,160 ",
12/19/2011,19,December,2011,19,Youth (<25),F,Australia,Victoria,Bikes,Mountain Bikes,"Mountain-500 Black, 44",4,$295 ,$540 ,$980 ,"$1,180 ","$2,160 ",
10/13/2011,13,October,2011,50,Adults (35-64),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Black, 48",4,$295 ,$540 ,$980 ,"$1,180 ","$2,160 ",
11/2/2011,2,November,2011,19,Youth (<25),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
12/7/2011,7,December,2011,30,Young Adults (25-34),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
12/12/2011,12,December,2011,37,Adults (35-64),M,United States,California,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
10/6/2011,6,October,2011,30,Young Adults (25-34),F,United States,California,Bikes,Mountain Bikes,"Mountain-500 Black, 48",4,$295 ,$540 ,$980 ,"$1,180 ","$2,160 ",
7/21/2011,21,July,2011,20,Youth (<25),M,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 40",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
12/18/2011,18,December,2011,35,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-500 Silver, 42",4,$308 ,$565 ,"$1,028 ","$1,232 ","$2,260 ",
10/8/2011,8,October,2011,41,Adults (35-64),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 38",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
3/3/2011,3,March,2011,28,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
12/4/2011,4,December,2011,31,Young Adults (25-34),F,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
7/19/2011,19,July,2011,26,Young Adults (25-34),M,Australia,New South Wales,Bikes,Mountain Bikes,"Mountain-400-W Silver, 46",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
4/30/2011,30,April,2011,26,Young Adults (25-34),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-400-W Silver, 42",4,$420 ,$769 ,"$1,396 ","$1,680 ","$3,076 ",
9/14/2011,14,September,2011,36,Adults (35-64),F,United Kingdom,England,Bikes,Mountain Bikes,"Mountain-500 Black, 42",4,$295 ,$540 ,$980 ,"$1,180 ","$2,160 ",
